<<<<<<< HEAD
N,Wide_Area,Narrow_Area,Wide_Error_%,Narrow_Error_%
100,1.361099033699941,0.9875,44.1052692338008,4.550770990959139
600,1.247674114224946,0.985416666666667,32.096496797650744,4.3301997441428055
1100,1.03408173339541,0.963636363636364,9.482574677627916,2.0242276183352996
1600,0.941831920640584,0.95390625,0.28430030696821146,0.9940596360451714
2100,0.92591770999996,0.942857142857143,1.969204602856573,0.17575572653448793
2600,0.92360291572496,0.943269230769231,2.2142815913494456,0.13212624914222743
3100,0.928307175058024,0.941532258064516,1.7162219050575453,0.31602684202141756
3600,0.92360291572496,0.941666666666667,2.2142815913494456,0.30179643900096087
4100,0.950872321452398,0.942987804878049,0.6728448828469252,0.16192198980034594
4600,0.946851501704307,0.944836956521739,0.2471438148179766,0.033855458328254484
5100,0.939806475649959,0.941911764705883,0.4987426718994675,0.275846880551941
5600,0.944436064199959,0.936830357142857,0.008588694913734315,0.8138368333961523
6100,0.937150154350779,0.94016393442623,0.7799785603338761,0.4608970104750418
6600,0.922129864822687,0.940151515151515,2.370239674935847,0.4622118912311016
7100,0.921548943340101,0.939084507042254,2.431744271279727,0.5751805195620788
7600,0.935115971461144,0.939638157894737,0.9953460433191456,0.5165631793221759
8100,0.918201729083294,0.939197530864198,2.7861278978327366,0.5632142130055316
8600,0.92699435849996,0.938372093023256,1.855215305883146,0.6506067828036087
9100,0.93054729854996,0.940796703296703,1.47905062587084,0.3939031134957787
9600,0.933730140678085,0.938020833333333,1.1420697666931419,0.6877961209296796
10100,0.933710086767286,0.939975247524753,1.144192958425219,0.4808740849310573
10600,0.934609107372129,0.937853773584906,1.0490098724777783,0.7054834378912995
11100,0.938054739441851,0.940202702702703,0.6842063388670305,0.45679245027732995
11600,0.939527103927115,0.940301724137931,0.5283209291312757,0.4463086351910328
12100,0.938467338466075,0.941219008264463,0.6405227478870473,0.3491919135234968
12600,0.935948485191626,0.940873015873016,0.9072043193875492,0.3858235806453153
13100,0.940301240838509,0.941125954198473,0.44635980412996307,0.35904393817473834
13600,0.937900174482312,0.940808823529412,0.7005707800700601,0.39261989357241855
14100,0.940495988838257,0.940602836879433,0.42574101575263995,0.414428565034843
14600,0.936255010460918,0.939811643835617,0.8747512021898907,0.4981954943853743
15100,0.932294891578768,0.939403973509934,1.2940256146907871,0.5413572633578236
15600,0.931081481844191,0.940224358974359,1.4224943977570712,0.45449960987386673
16100,0.932358876678221,0.940295031055901,1.2872512435720538,0.4470172598862709
16600,0.935902003378875,0.941039156626506,0.9121255440560824,0.3682335615360538
17100,0.938100837763117,0.939766081871345,0.6793257160520937,0.5030193308334722
17600,0.934098403403653,0.939417613636364,1.1030802457965678,0.5399131259049911
18100,0.930317098014324,0.939779005524862,1.5034229230690872,0.5016510493760301
18600,0.929352566020928,0.939247311827957,1.6055419747703599,0.5579436933683951
19100,0.929456557792106,0.940314136125655,1.5945319293492164,0.4449945259393172
19600,0.930051271205317,0.939477040816327,1.5315671234050345,0.5336213208589667
20100,0.926263201682796,0.939365671641791,1.932625947857626,0.5454124429474407
20600,0.926906554156271,0.939199029126214,1.8645115203935712,0.5630555857154859
21100,0.925676357042377,0.938329383886256,1.9947576537894842,0.6551285784509081
21600,0.926303509045793,0.938310185185185,1.928358438107806,0.6571612255384927
22100,0.92822203009272,0.937217194570136,1.7252365600130188,0.7728807308440767
22600,0.930485843834694,0.93766592920354,1.4855570945919412,0.7253713112058653
23100,0.931809913609051,0.938365800865801,1.345372268511086,0.651272959930811
23600,0.934313743471993,0.938665254237288,1.0802812886621944,0.6195685742449341
24100,0.938730720634192,0.939470954356847,0.6126373719458742,0.53426571987794
24600,0.940992101985935,0.940091463414634,0.3732154338908873,0.46856982074021514
25100,0.948586093776652,0.939890438247012,0.43079236015314715,0.4898531992348644
25600,0.94638917186949,0.940185546875,0.19819501412710297,0.4586088097845072
26100,0.949863857672373,0.940948275862069,0.5660745884488844,0.3778554896273281
26600,0.94991847169338,0.940789473684211,0.571856804148318,0.39466854292363124
27100,0.950329820841103,0.941374538745388,0.6154080654555727,0.3327252485176219
27600,0.950021763428763,0.941711956521739,0.5827927338407642,0.2970014118963044
28100,0.948686718455831,0.941903914590748,0.4414459174077041,0.2766780051997756
28600,0.953177245378281,0.94222027972028,0.9168768560383942,0.24318310068612586
29100,0.95383842445099,0.942310996563574,0.9868786604078272,0.23357852761447853
29600,0.952178112619722,0.941891891891892,0.8110944760589834,0.27795089880461443
30100,0.949280982449959,0.94264950166113,0.5043631414666891,0.19773957173209247
30600,0.950291132072018,0.943055555555556,0.6113119230388386,0.15474894112336995
31100,0.95033097437938,0.943528938906752,0.6155301953960578,0.10462985824556469
31600,0.954984493807554,0.943868670886076,1.108217834927201,0.06866100723938814
32100,0.954344249040613,0.943886292834891,1.040432433401519,0.06679529753308266
32600,0.957302344035235,0.944210122699387,1.3536183699607325,0.0325100701883214
33100,0.958702470003584,0.94463746223565,1.5018555846193204,0.012734160688865351
33600,0.959192877703083,0.944791666666667,1.553777106728209,0.029060431223598093
34100,0.959383797318873,0.94450146627566,1.5739905680225283,0.0016643025704900438
34600,0.957321306320334,0.944400289017341,1.3556259866967852,0.012376363698598538
35100,0.955871543609788,0.944159544159544,1.2021335217433426,0.03786503255407878
35600,0.953916317157683,0.944417134831461,0.9951254882957526,0.01059282663103963
36100,0.951745940857853,0.944979224376732,0.7653386371689392,0.048917953443942334
36600,0.950697392976598,0.944467213114754,0.6543244706817052,0.005290828526539807
